a = 3, b = 0 and m = 11
Initial value, x_0 = 0
x0= 0	u0= 0
x1= 0	u1= 0
x2= 0	u2= 0
x3= 0	u3= 0
x4= 0	u4= 0
x5= 0	u5= 0
x6= 0	u6= 0
x7= 0	u7= 0
x8= 0	u8= 0
x9= 0	u9= 0
x10= 0	u10= 0
x11= 0	u11= 0

Initial value, x_0 = 1
x0= 1	u0= 0.09090909091
x1= 3	u1= 0.2727272727
x2= 9	u2= 0.8181818182
x3= 5	u3= 0.4545454545
x4= 4	u4= 0.3636363636
x5= 1	u5= 0.09090909091
x6= 3	u6= 0.2727272727
x7= 9	u7= 0.8181818182
x8= 5	u8= 0.4545454545
x9= 4	u9= 0.3636363636
x10= 1	u10= 0.09090909091
x11= 3	u11= 0.2727272727

Initial value, x_0 = 2
x0= 2	u0= 0.1818181818
x1= 6	u1= 0.5454545455
x2= 7	u2= 0.6363636364
x3= 10	u3= 0.9090909091
x4= 8	u4= 0.7272727273
x5= 2	u5= 0.1818181818
x6= 6	u6= 0.5454545455
x7= 7	u7= 0.6363636364
x8= 10	u8= 0.9090909091
x9= 8	u9= 0.7272727273
x10= 2	u10= 0.1818181818
x11= 6	u11= 0.5454545455

Initial value, x_0 = 3
x0= 3	u0= 0.2727272727
x1= 9	u1= 0.8181818182
x2= 5	u2= 0.4545454545
x3= 4	u3= 0.3636363636
x4= 1	u4= 0.09090909091
x5= 3	u5= 0.2727272727
x6= 9	u6= 0.8181818182
x7= 5	u7= 0.4545454545
x8= 4	u8= 0.3636363636
x9= 1	u9= 0.09090909091
x10= 3	u10= 0.2727272727
x11= 9	u11= 0.8181818182

Initial value, x_0 = 4
x0= 4	u0= 0.3636363636
x1= 1	u1= 0.09090909091
x2= 3	u2= 0.2727272727
x3= 9	u3= 0.8181818182
x4= 5	u4= 0.4545454545
x5= 4	u5= 0.3636363636
x6= 1	u6= 0.09090909091
x7= 3	u7= 0.2727272727
x8= 9	u8= 0.8181818182
x9= 5	u9= 0.4545454545
x10= 4	u10= 0.3636363636
x11= 1	u11= 0.09090909091

Initial value, x_0 = 5
x0= 5	u0= 0.4545454545
x1= 4	u1= 0.3636363636
x2= 1	u2= 0.09090909091
x3= 3	u3= 0.2727272727
x4= 9	u4= 0.8181818182
x5= 5	u5= 0.4545454545
x6= 4	u6= 0.3636363636
x7= 1	u7= 0.09090909091
x8= 3	u8= 0.2727272727
x9= 9	u9= 0.8181818182
x10= 5	u10= 0.4545454545
x11= 4	u11= 0.3636363636

Initial value, x_0 = 6
x0= 6	u0= 0.5454545455
x1= 7	u1= 0.6363636364
x2= 10	u2= 0.9090909091
x3= 8	u3= 0.7272727273
x4= 2	u4= 0.1818181818
x5= 6	u5= 0.5454545455
x6= 7	u6= 0.6363636364
x7= 10	u7= 0.9090909091
x8= 8	u8= 0.7272727273
x9= 2	u9= 0.1818181818
x10= 6	u10= 0.5454545455
x11= 7	u11= 0.6363636364

Initial value, x_0 = 7
x0= 7	u0= 0.6363636364
x1= 10	u1= 0.9090909091
x2= 8	u2= 0.7272727273
x3= 2	u3= 0.1818181818
x4= 6	u4= 0.5454545455
x5= 7	u5= 0.6363636364
x6= 10	u6= 0.9090909091
x7= 8	u7= 0.7272727273
x8= 2	u8= 0.1818181818
x9= 6	u9= 0.5454545455
x10= 7	u10= 0.6363636364
x11= 10	u11= 0.9090909091

Initial value, x_0 = 8
x0= 8	u0= 0.7272727273
x1= 2	u1= 0.1818181818
x2= 6	u2= 0.5454545455
x3= 7	u3= 0.6363636364
x4= 10	u4= 0.9090909091
x5= 8	u5= 0.7272727273
x6= 2	u6= 0.1818181818
x7= 6	u7= 0.5454545455
x8= 7	u8= 0.6363636364
x9= 10	u9= 0.9090909091
x10= 8	u10= 0.7272727273
x11= 2	u11= 0.1818181818

Initial value, x_0 = 9
x0= 9	u0= 0.8181818182
x1= 5	u1= 0.4545454545
x2= 4	u2= 0.3636363636
x3= 1	u3= 0.09090909091
x4= 3	u4= 0.2727272727
x5= 9	u5= 0.8181818182
x6= 5	u6= 0.4545454545
x7= 4	u7= 0.3636363636
x8= 1	u8= 0.09090909091
x9= 3	u9= 0.2727272727
x10= 9	u10= 0.8181818182
x11= 5	u11= 0.4545454545

Initial value, x_0 = 10
x0= 10	u0= 0.9090909091
x1= 8	u1= 0.7272727273
x2= 2	u2= 0.1818181818
x3= 6	u3= 0.5454545455
x4= 7	u4= 0.6363636364
x5= 10	u5= 0.9090909091
x6= 8	u6= 0.7272727273
x7= 2	u7= 0.1818181818
x8= 6	u8= 0.5454545455
x9= 7	u9= 0.6363636364
x10= 10	u10= 0.9090909091
x11= 8	u11= 0.7272727273

